,ID,Registry_Date,Birth_Year,Age,Education,Marital_Status,Country,Income,Last_Purchase,Kidhome,Teenhome,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,Response,Complaint,TotalMnt,TotalDependents,TotalPurchases
0,1826,2014-06-16,1970,45,Bachelor,Divorced,Spain,84835.0,0,0,0,189,104,379,111,189,218,1,4,4,6,1,0,0,0,0,0,1,0,1190,0,15
1,1,2014-06-15,1961,54,Bachelor,Single,Canada,57091.0,0,0,0,464,5,64,7,0,37,1,7,3,7,5,0,1,0,0,0,1,0,577,0,18
2,10476,2014-05-13,1958,57,Bachelor,Married,United States,67267.0,0,0,1,134,11,59,15,2,30,1,3,2,5,2,0,0,0,0,0,0,0,251,1,11
3,1386,2014-05-11,1967,48,Bachelor,In a relationship,Australia,32474.0,0,1,1,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,11,2,4
4,5371,2014-04-08,1989,26,Bachelor,Single,Spain,21474.0,0,1,0,6,16,24,11,0,34,2,3,1,2,7,0,0,1,0,0,1,0,91,1,8
5,7348,2014-03-17,1958,57,Doctorate,Single,Spain,71691.0,0,0,0,336,130,411,240,32,43,1,4,7,5,2,0,0,0,0,0,1,0,1192,0,17
6,4073,2014-01-29,1954,61,Associate,Married,Germany,63564.0,0,0,0,769,80,252,15,34,65,1,10,10,7,6,0,0,1,0,0,1,0,1215,0,28
7,1991,2014-01-18,1967,48,Bachelor,In a relationship,Spain,44931.0,0,0,1,78,0,11,0,0,7,1,2,1,3,5,0,0,0,0,0,0,0,96,1,7
8,4047,2014-01-11,1954,61,Doctorate,Married,United States,65324.0,0,0,1,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,544,1,20
9,9477,2014-01-11,1954,61,Doctorate,Married,India,65324.0,0,0,1,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,544,1,20
10,2079,2013-12-27,1947,68,Associate,Married,United States,81044.0,0,0,0,450,26,535,73,98,26,1,5,6,10,1,0,0,0,0,0,0,0,1208,0,22
11,5642,2013-12-09,1979,36,Masters,In a relationship,Spain,62499.0,0,1,0,140,4,61,0,13,4,2,3,1,6,4,0,0,0,0,0,0,0,222,1,12
12,10530,2013-12-07,1959,56,Doctorate,Widowed,India,67786.0,0,0,0,431,82,441,80,20,102,1,3,6,6,1,0,0,0,0,0,1,0,1156,0,16
13,2964,2013-10-16,1981,34,Bachelor,Married,Canada,26872.0,0,0,0,3,10,8,3,16,32,1,1,1,2,6,0,0,0,0,0,0,0,72,0,5
14,10311,2013-10-05,1969,46,Bachelor,Married,Spain,4428.0,0,0,1,16,4,12,2,4,321,0,25,0,0,1,0,0,0,0,0,0,0,359,1,25
15,837,2013-09-11,1977,38,Bachelor,Married,Spain,54809.0,0,1,1,63,6,57,13,13,22,4,2,1,5,4,0,0,0,0,0,0,0,174,2,12
16,10521,2013-09-11,1977,38,Bachelor,Married,Spain,54809.0,0,1,1,63,6,57,13,13,22,4,2,1,5,4,0,0,0,0,0,1,0,174,2,12
17,10175,2013-08-01,1958,57,Doctorate,Divorced,Spain,32173.0,0,0,1,18,0,2,0,0,2,1,1,0,3,4,0,0,0,0,0,0,0,22,1,5
18,1473,2013-07-23,1960,55,Associate,Single,Canada,47823.0,0,0,1,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,72,1,7
19,2795,2013-07-01,1958,57,Masters,Single,Canada,30523.0,0,2,1,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,0,13,3,4
20,2285,2013-05-28,1954,61,Masters,In a relationship,South Africa,36634.0,0,0,1,213,9,76,4,3,30,3,5,2,5,7,0,0,0,0,0,0,0,335,1,15
21,115,2013-03-26,1966,49,Masters,Single,India,43456.0,0,0,1,275,11,68,25,7,7,3,5,1,8,5,0,0,0,0,0,0,0,393,1,17
22,10470,2013-03-15,1979,36,Masters,Married,Germany,40662.0,0,1,0,40,2,23,0,4,23,2,2,1,3,4,0,0,0,0,0,0,0,92,1,8
23,4065,2013-02-12,1976,39,Doctorate,Married,Spain,49544.0,0,1,0,308,0,73,0,0,23,2,5,1,8,7,0,0,0,0,0,0,0,404,1,16
24,10968,2012-11-23,1969,46,Bachelor,Single,India,57731.0,0,0,1,266,21,300,65,8,44,4,8,8,6,6,0,0,0,0,0,0,0,704,1,26
25,5985,2012-10-13,1965,50,Masters,Single,Spain,33168.0,0,0,1,80,1,37,0,1,3,3,2,1,4,7,0,0,0,0,0,0,0,122,1,10
26,5430,2012-09-14,1956,59,Bachelor,In a relationship,Spain,54450.0,0,1,1,454,0,171,8,19,32,12,9,2,8,8,0,0,0,0,0,0,0,684,2,31
27,8432,2012-09-14,1956,59,Bachelor,In a relationship,Spain,54450.0,0,1,1,454,0,171,8,19,32,12,9,2,8,8,0,0,0,0,0,0,0,684,2,31
28,453,2014-06-29,1956,59,Doctorate,Widowed,Spain,35340.0,1,1,1,27,0,12,0,1,5,2,2,0,3,5,0,0,0,0,0,0,0,45,2,7
29,9687,2014-05-31,1975,40,Bachelor,Single,Canada,73170.0,1,0,0,184,174,256,50,30,32,1,5,4,6,2,0,0,0,0,0,0,0,726,0,16
30,8890,2014-05-30,1971,44,Doctorate,Divorced,Spain,65808.0,1,1,1,155,7,80,13,7,10,3,5,1,5,6,0,0,0,0,0,0,0,272,2,14
31,9264,2014-04-27,1986,29,Bachelor,Married,Canada,79529.0,1,0,0,423,42,706,73,197,197,1,4,8,9,2,0,0,0,0,0,0,0,1638,0,22
32,5824,2014-04-11,1972,43,Doctorate,In a relationship,Australia,34578.0,1,2,1,7,0,1,0,0,0,1,1,0,2,6,0,0,0,0,0,0,0,8,3,4
33,5794,2014-03-17,1974,41,Doctorate,Married,India,46374.0,1,0,1,408,0,21,0,0,17,3,7,1,7,8,1,0,0,1,0,1,0,446,1,18
34,3068,2013-10-29,1990,25,Bachelor,Married,Spain,18351.0,1,0,0,1,12,9,0,14,7,1,2,0,3,7,0,0,0,0,0,0,0,43,0,6
35,7962,2013-10-09,1987,28,Doctorate,Single,Spain,95169.0,1,0,0,1285,21,449,106,20,20,1,4,3,4,1,1,0,0,0,1,1,0,1901,0,12
36,2681,2013-08-01,1984,31,Associate,Married,Spain,65370.0,1,0,0,71,22,112,138,89,29,1,2,3,13,1,0,0,0,0,0,0,0,461,0,19
37,10141,2013-05-10,1960,55,Masters,Divorced,South Africa,39228.0,1,0,0,7,1,6,0,3,3,1,0,0,3,4,0,0,0,0,0,0,0,20,0,4
38,3725,2013-05-09,1961,54,Doctorate,Single,Spain,84865.0,1,0,0,1248,16,349,43,16,16,1,2,4,9,4,1,1,0,1,1,1,0,1688,0,16
39,3767,2013-04-25,1968,47,Bachelor,Married,Spain,61314.0,1,0,1,378,0,189,97,172,172,2,5,5,12,3,0,0,0,0,0,0,0,1008,1,24
40,5585,2013-04-20,1972,43,Bachelor,Single,Canada,21359.0,1,1,0,12,2,17,6,1,10,2,2,0,3,8,0,0,0,0,0,1,0,48,1,7
41,7030,2013-03-30,1955,60,Doctorate,Married,Spain,66465.0,1,0,1,1200,0,204,38,29,14,3,11,9,12,6,1,0,0,0,0,0,0,1485,1,35
42,1524,2013-03-01,1983,32,Associate,Single,Spain,81698.0,1,0,0,709,45,115,30,160,45,1,8,2,5,5,1,0,0,0,0,1,0,1104,0,16
43,3657,2013-02-14,1986,29,Bachelor,Single,Spain,39146.0,1,1,0,94,1,33,13,12,12,3,4,0,4,8,0,0,0,0,0,0,0,165,1,11
44,5740,2013-02-14,1970,45,Associate,Divorced,Spain,25959.0,1,1,1,4,2,12,7,5,26,2,1,2,2,6,0,0,0,0,0,1,0,56,2,7
45,9595,2013-01-11,1961,54,Bachelor,In a relationship,Spain,64260.0,1,0,0,539,169,816,20,0,30,1,4,5,4,3,0,0,0,0,0,1,0,1574,0,14
46,3158,2013-01-03,1973,42,Bachelor,Married,Spain,32300.0,1,1,0,13,3,6,6,5,6,1,1,0,3,8,0,0,0,0,0,0,0,39,1,5
47,5114,2012-12-19,1965,50,Masters,Married,Australia,74806.0,1,0,1,670,9,249,0,28,9,2,5,4,5,4,0,0,0,0,0,0,0,965,1,16
